variable,etiqueta,categoria_analitica,tipo_variable,n_human,n_ia,missing_human,missing_ia,valor_human,valor_ia,diferencia,unidad_diferencia,intervalo_confianza,test,p_value,effect_size,interpretacion,incluir_reporte,nivel_prioridad,justificacion
num_propuestas_pago,Número de propuestas formuladas,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Numérica continua/conteo (propuestas),50,50,0,0,"Med=1.0, Mdn=1.0, DE=1.0","Med=1.4, Mdn=2.0, DE=0.9",-1.0 (Mediana H - IA),propuestas (Humano - IA),"IQR H=[2.0], IA=[1.8]",Mann-Whitney U (No paramétrica),0.049047,Rank-biserial r = -0.229,"Diferencia estadísticamente significativa en rangos (p=0.0490 < 0.05, U=964)",SI,MEDIA,Mide persistencia en la formulación de alternativas
num_palabras,Volumen de palabras,C. MÉTRICA EXPLORATORIA,Numérica continua/conteo (palabras),50,50,0,0,"Med=525.7, Mdn=336.5, DE=500.2","Med=458.4, Mdn=295.5, DE=374.6",+41.0 (Mediana H - IA),palabras (Humano - IA),"IQR H=[427.0], IA=[534.5]",Mann-Whitney U (No paramétrica),0.199755,Rank-biserial r = 0.149,Tendencia no significativa bajo alpha=0.05 (p=0.1998),SI (Secundaria),BAJA,Mide densidad léxica del diálogo
num_preguntas_agente,Preguntas realizadas por el agente,C. MÉTRICA EXPLORATORIA,Numérica continua/conteo (preguntas),50,50,0,0,"Med=15.5, Mdn=14.0, DE=13.1","Med=13.4, Mdn=8.0, DE=14.1",+6.0 (Mediana H - IA),preguntas (Humano - IA),"IQR H=[15.2], IA=[18.5]",Mann-Whitney U (No paramétrica),0.262609,Rank-biserial r = 0.130,Sin evidencia suficiente de diferencia en distribución (p=0.2626),SI (Secundaria),MEDIA,Mide grado de indagación y estilo conversacional
numero_cuotas,Número de cuotas acordadas/ofrecidas,C. MÉTRICA EXPLORATORIA,Numérica continua/conteo (cuotas),16,13,34,37,"Med=6.2, Mdn=3.0, DE=6.3","Med=4.3, Mdn=2.0, DE=4.8",+1.0 (Mediana H - IA),cuotas (Humano - IA),"IQR H=[8.5], IA=[1.0]",Mann-Whitney U (No paramétrica),0.219492,Rank-biserial r = 0.274,Sin evidencia suficiente de diferencia en distribución (p=0.2195),NO (Excluir reporte ejecutivo),BAJA,"71% missing (n=16 H, n=13 IA). Riesgo de sesgo de selección"
monto_cuota,Monto de cuota en COP,E. VARIABLE QUE DEBE EXCLUIRSE,Numérica continua/conteo (COP),6,14,44,36,"Med=534333.3, Mdn=375000.0, DE=510753.8","Med=2418571.4, Mdn=1075000.0, DE=3657079.2",-700000.0 (Mediana H - IA),COP (Humano - IA),"IQR H=[350000.0], IA=[1655000.0]",Mann-Whitney U (No paramétrica),0.127046,Rank-biserial r = -0.452,Tendencia no significativa bajo alpha=0.05 (p=0.1270),NO,NULA,"80% missing (n=6 H, n=14 IA). Muestra insuficiente para inferencia"
monto_propuesto,Monto propuesto en COP,E. VARIABLE QUE DEBE EXCLUIRSE,Numérica continua/conteo (COP),3,14,47,36,"Med=585092.7, Mdn=250000.0, DE=805455.6","Med=2140000.0, Mdn=525000.0, DE=4137009.3",-275000.0 (Mediana H - IA),COP (Humano - IA),"IQR H=[751361.0], IA=[520000.0]",Mann-Whitney U (No paramétrica),0.449692,Rank-biserial r = -0.310,Sin evidencia suficiente de diferencia en distribución (p=0.4497),NO,NULA,"83% missing (n=3 H, n=14 IA). Incomparable"
monto_deuda,Monto de deuda exigible en COP,E. VARIABLE QUE DEBE EXCLUIRSE,Numérica continua/conteo (COP),6,16,44,34,"Med=204089131.7, Mdn=882143.0, DE=497693033.4","Med=4319375.0, Mdn=2055000.0, DE=5961368.4",-1172857.0 (Mediana H - IA),COP (Humano - IA),"IQR H=[1008193.0], IA=[4037500.0]",Mann-Whitney U (No paramétrica),0.685135,Rank-biserial r = -0.125,Sin evidencia suficiente de diferencia en distribución (p=0.6851),NO,NULA,"78% missing (n=6 H, n=16 IA) y outlier de $1.2B en humanos"
monto_acordado,Monto acordado en COP,E. VARIABLE QUE DEBE EXCLUIRSE,Numérica continua/conteo (COP),0,2,50,48,N=0,"Med=540000.0, Mdn=540000.0, DE=410121.9",Sin datos comparables,COP (Humano - IA),-,No aplicable (Muestra insuficiente),1.0,No calculable,Muestra insuficiente (< 5 casos). Variable puramente descriptiva/excluida.,NO,NULA,"98% missing (n=0 H, n=2 IA). Sin datos en humanos"
monto_descuento,Monto de descuento en COP,E. VARIABLE QUE DEBE EXCLUIRSE,Numérica continua/conteo (COP),1,1,49,49,N=1,N=1,Media H=100000 vs IA=490000,COP (Humano - IA),-,No aplicable (Muestra insuficiente),1.0,No calculable,Muestra insuficiente (< 5 casos). Variable puramente descriptiva/excluida.,NO,NULA,"98% missing (n=1 H, n=1 IA)"
conv_oferta_a_acuerdo,Conversión de oferta a acuerdo (Condicionada),C. MÉTRICA EXPLORATORIA,Binaria condicionada (0/1),26,37,24,13,26.9% (7/26),5.4% (2/37),+21.5,puntos porcentuales (Humano - IA),"[3.0%, 40.1%]",Prueba Exacta de Fisher (Submuestra con oferta),0.026341,Cohen's h = 0.622,"Mayor efectividad de cierre en llamadas con oferta (26.9% vs 5.4%), estadísticamente significativa en submuestra (p=0.0263) pero condicionada.",SI (Secundaria explicativa),MEDIA,Explica la paradoja: la IA formula más ofertas pero el humano es mucho más efectivo convirtiéndolas en acuerdo.
conv_contacto_a_acuerdo,Conversión de contacto efectivo a acuerdo,B. MÉTRICA SECUNDARIA DE DESEMPEÑO,Binaria condicionada (0/1),49,46,1,4,14.3% (7/49),4.3% (2/46),+9.9,puntos porcentuales (Humano - IA),"[-1.5%, 21.4%]",Prueba Exacta de Fisher (Submuestra contactada),0.16046,Cohen's h = 0.355,"Tendencia favorable a humanos sobre contactos efectivos (14.3% vs 4.3%, p=0.1605).",SI (Secundaria),MEDIA,Aísla el efecto de llamadas caídas en buzón.
preguntas_por_minuto,Preguntas formuladas por minuto,C. MÉTRICA EXPLORATORIA,Tasa continua (preguntas/min),50,50,0,0,Mdn=3.8 (Med=4.6),Mdn=3.7 (Med=3.7),+0.1,preguntas/min (Humano - IA),"IQR H=[4.3], IA=[2.7]",Mann-Whitney U,0.379422,Rank-biserial r = 0.102,Ritmo de indagación similar en ambos grupos (p=0.3794).,NO (Excluir reporte ejecutivo),BAJA,No aporta discriminación analítica relevante frente al conteo total de preguntas.
